Author,Nick Hubbers
Title,tides2015
End year,2015
,
Key,Value
households_number_of_old_houses,5.6
households_number_of_new_houses,2
households_lighting_efficient_fluorescent_electricity_share,50
households_lighting_led_electricity_share,4
households_lighting_incandescent_electricity_share,46
households_appliances_fridge_freezer_electricity_efficiency,0
households_appliances_dishwasher_electricity_efficiency,0
households_appliances_vacuum_cleaner_electricity_efficiency,0
households_appliances_washing_machine_electricity_efficiency,0
households_appliances_clothes_dryer_electricity_efficiency,0
households_appliances_television_electricity_efficiency,0
households_appliances_computer_media_electricity_efficiency,0
households_appliances_other_electricity_efficiency,0
households_space_heater_micro_chp_network_gas_share,0
households_space_heater_crude_oil_share,1
households_space_heater_heatpump_add_on_electricity_share,0.1
households_space_heater_wood_pellets_share,3
households_space_heater_heatpump_air_water_electricity_share,0
households_space_heater_district_heating_steam_hot_water_share,4
households_solar_pv_solar_radiation_market_penetration,0.02
households_useful_demand_for_cooling,0.5
households_useful_demand_heat_per_person,0.5
households_useful_demand_hot_water_share,0.5
households_useful_demand_cooking_per_person,0.5
households_useful_demand_electric_appliances,0.5
households_useful_demand_lighting,0.5
households_water_heater_district_heating_steam_hot_water_share,4
households_water_heater_crude_oil_share,0
households_water_heater_fuel_cell_chp_network_gas_share,0
households_water_heater_coal_share,0
households_water_heater_wood_pellets_share,0
households_water_heater_micro_chp_network_gas_share,0
households_water_heater_heatpump_air_water_electricity_share,0
households_cooling_heatpump_air_water_electricity_share,0
households_cooker_network_gas_share,60.5
households_cooker_wood_pellets_share,0
households_behavior_standby_killer_turn_off_appliances,0
households_behavior_turn_off_the_light,0
households_behavior_close_windows_turn_off_heating,0
households_behavior_low_temperature_washing,0
households_collective_chp_network_gas_share,0
households_heat_network_connection_steam_hot_water_share,100
households_collective_chp_wood_pellets_share,0
households_collective_geothermal_share,0
households_collective_chp_biogas_share,0
households_climate_influence,0.05
households_number_of_inhabitants,16.9
number_of_buildings,0.5
buildings_useful_demand_cooling_electricity,0
buildings_useful_demand_for_space_heating,0
buildings_useful_demand_cooling,0
buildings_space_heater_network_gas_share,87.7
buildings_space_heater_electricity_share,0
buildings_space_heater_solar_thermal_share,0.1
buildings_space_heater_heatpump_air_water_network_gas_share,0
buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,2
buildings_space_heater_wood_pellets_share,0.2
buildings_space_heater_crude_oil_share,0
buildings_space_heater_district_heating_steam_hot_water_share,10
buildings_space_heater_coal_share,0
buildings_cooling_heatpump_air_water_network_gas_share,11
buildings_cooling_collective_heatpump_water_water_ts_electricity_share,5
buildings_cooling_airconditioning_share,84
buildings_cooling_collective_cooling_network_electricity_share,0
buildings_solar_pv_solar_radiation_market_penetration,0.06
transport_useful_demand_car_kms,0.02
transport_car_using_electricity_share,0.716879875047358
industry_aluminium_production,0.5
industry_other_metals_production,0.5
industry_steel_production,0.5
industry_useful_demand_for_chemical_electricity,0.5
industry_useful_demand_for_chemical_useable_heat,0.5
industry_useful_demand_for_chemical_electricity_efficiency,0
industry_useful_demand_for_chemical_useable_heat_efficiency,0
industry_useful_demand_electricity,0.5
industry_useful_demand_useable_heat,0.5
industry_useful_demand_electricity_efficiency,0
industry_useful_demand_useable_heat_efficiency,0
costs_co2,-21.5156
costs_oil,60
costs_coal,68
costs_gas,24
costs_biomass,142
costs_uranium,5
number_of_energy_power_ultra_supercritical_coal,1.5
number_of_energy_power_ultra_supercritical_ccs_coal,0
number_of_energy_power_combined_cycle_coal,0.3125
number_of_energy_power_combined_cycle_ccs_coal,0
number_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0
number_of_energy_power_supercritical_coal,1.25
number_of_energy_power_ultra_supercritical_lignite,0
number_of_energy_chp_ultra_supercritical_lignite,0
number_of_energy_chp_ultra_supercritical_coal,1.72661870503597
number_of_energy_chp_ultra_supercritical_cofiring_coal,1.08864696734059
number_of_energy_power_ultra_supercritical_cofiring_coal,4.10958904109589
number_of_energy_power_ultra_supercritical_network_gas,4.75
number_of_energy_power_combined_cycle_network_gas,9
number_of_energy_chp_combined_cycle_network_gas,71.6666666666667
number_of_energy_power_combined_cycle_ccs_network_gas,0
number_of_energy_power_engine_network_gas,0
number_of_energy_power_ultra_supercritical_crude_oil,0
number_of_energy_power_engine_diesel,0
number_of_energy_power_nuclear_gen3_uranium_oxide,0.303030303030303
number_of_energy_power_nuclear_gen2_uranium_oxide,0
number_of_energy_power_wind_turbine_inland,800
number_of_energy_power_wind_turbine_coastal,266.666666666667
number_of_energy_power_wind_turbine_offshore,333.333333333333
number_of_energy_power_hydro_river,3.7
number_of_energy_power_hydro_mountain,0
number_of_energy_power_solar_pv_solar_radiation,0.5
number_of_energy_power_solar_csp_solar_radiation,0
number_of_energy_power_supercritical_waste_mix,0
number_of_energy_chp_supercritical_waste_mix,14.1666666666667
