dataset,share_of_trucks_in_trucks_and_vans
DE6_hamburg,1.0
DE7_hessen,1.0
DE8_mecklenburg_vorpommern,1.0
DE9_niedersachsen,1.0
DEA_nordrhein_westfalen,1.0
DEB_rheinland_pfalz,1.0
DEC_saarland,1.0
DED_sachsen,1.0
DEE_sachsen_anhalt,1.0
DEF_schleswig_holstein,1.0
DEG_thuringen,1.0
GM0014_groningen,0.99493040733535
GM0034_almere,0.9944930761647738
GM0050_zeewolde,0.9987809420521294
GM0059_achtkarspelen,0.9976116546153938
GM0060_ameland,0.9967214795686208
GM0072_harlingen,0.9970748169506654
GM0074_heerenveen,0.9971620238984545
GM0080_leeuwarden,0.9952683128459321
GM0085_ooststellingwerf,0.9974376784151944
GM0088_schiermonnikoog,0.9983728879242525
GM0090_smallingerland,0.9967273895941469
GM0093_terschelling,0.9952075041980594
GM0096_vlieland,0.9826425757706547
GM0098_weststellingwerf,0.9976687905388228
GM0141_almelo,0.9970379375314553
GM0147_borne,0.9981979869937794
GM0148_dalfsen,0.9980582480110207
GM0150_deventer,0.997285136870034
GM0153_enschede,0.9951928422819011
GM0158_haaksbergen,0.996407091091059
GM0160_hardenberg,0.9982444450027598
GM0163_hellendoorn,0.9963286566649948
GM0164_hengelo,0.996277414588973
GM0166_kampen,0.9975680421999282
GM0168_losser,0.9979127194898273
GM0171_noordoostpolder,0.9986628071178189
GM0173_oldenzaal,0.9965206739420771
GM0175_ommen,0.9987071499850461
GM0177_raalte,0.9982558365040365
GM0180_staphorst,0.9990269462533216
GM0183_tubbergen,0.9981760416187195
GM0184_urk,0.994693281496645
GM0189_wierden,0.9987491019622448
GM0193_zwolle,0.9968592687346047
GM0197_aalten,0.9978801110119782
GM0200_apeldoorn,0.9972997276867694
GM0202_arnhem,0.9971817490529861
GM0203_barneveld,0.9981059578208346
GM0209_beuningen,0.9984625284536311
GM0213_brummen,0.9981104366683384
GM0214_buren,0.9981020999033278
GM0216_culemborg,0.9977241612913107
GM0221_doesburg,0.996107967842574
GM0222_doetinchem,0.996611687162279
GM0225_druten,0.997766329564351
GM0226_duiven,0.9976126882101249
GM0228_ede,0.9976013080365044
GM0230_elburg,0.9981684762244774
GM0232_epe,0.9980768903335364
GM0233_ermelo,0.9969012104566888
GM0243_harderwijk,0.9974205885070181
GM0244_hattem,0.9986223879299627
GM0246_heerde,0.9979165249602551
GM0252_heumen,0.9975323055819454
GM0262_lochem,0.9976990768247617
GM0263_maasdriel,0.9981932281884736
GM0267_nijkerk,0.9975183102793819
GM0268_nijmegen,0.9934916580758582
GM0269_oldebroek,0.99854295220213
GM0273_putten,0.9979311232740494
GM0274_renkum,0.9979408159902445
